Date : 2026-01-13 21:55:20
Directory : /workspaces/devmultiplier-academy
Total : 356 files,  76787 codes, 4537 comments, 18972 blanks, all 100296 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /workspaces/devmultiplier-academy/scripts/generate-continuous-traffic.ts                                            | TypeScript           |        111 |         29 |         31 |        171 |
| /workspaces/devmultiplier-academy/scripts/generate-test-telemetry.ts                                                | TypeScript           |        161 |         37 |         40 |        238 |
| /workspaces/devmultiplier-academy/scripts/make-admin.ts                                                             | TypeScript           |         41 |          6 |         11 |         58 |
| /workspaces/devmultiplier-academy/scripts/quickstart.md                                                             | source.markdown.math |        110 |          0 |         58 |        168 |
| /workspaces/devmultiplier-academy/scripts/readme-telemetry-testing.md                                               | source.markdown.math |        149 |          0 |         69 |        218 |
| /workspaces/devmultiplier-academy/scripts/reset-password.ts                                                         | TypeScript           |         45 |          7 |         12 |         64 |
| /workspaces/devmultiplier-academy/scripts/restart-prometheus.sh                                                     | Shell Script         |         20 |          2 |          5 |         27 |
| /workspaces/devmultiplier-academy/scripts/restore-neon.sh                                                           | Shell Script         |        270 |         68 |         66 |        404 |
| /workspaces/devmultiplier-academy/scripts/restore-postgres.sh                                                       | Shell Script         |        230 |         52 |         50 |        332 |
| /workspaces/devmultiplier-academy/scripts/test-email.ts                                                             | TypeScript           |         50 |          7 |         11 |         68 |
| /workspaces/devmultiplier-academy/scripts/test-login-metrics.ts                                                     | TypeScript           |         89 |         24 |         24 |        137 |
| /workspaces/devmultiplier-academy/scripts/verify-testing-setup.sh                                                   | Shell Script         |         40 |          8 |          9 |         57 |
| /workspaces/devmultiplier-academy/src/__tests__/auth.test.ts                                                        | TypeScript           |         54 |          3 |          8 |         65 |
| /workspaces/devmultiplier-academy/src/__tests__/models.test.ts                                                      | TypeScript           |         60 |          3 |          9 |         72 |
| /workspaces/devmultiplier-academy/src/app/(auth)/forgot-password/page.tsx                                           | TypeScript JSX       |        119 |          8 |         15 |        142 |
| /workspaces/devmultiplier-academy/src/app/(auth)/layout.tsx                                                         | TypeScript JSX       |          5 |          0 |          3 |          8 |
| /workspaces/devmultiplier-academy/src/app/(auth)/login/page.tsx                                                     | TypeScript JSX       |        340 |         22 |         29 |        391 |
| /workspaces/devmultiplier-academy/src/app/(auth)/register/page.tsx                                                  | TypeScript JSX       |        244 |         13 |         27 |        284 |
| /workspaces/devmultiplier-academy/src/app/(auth)/reset-password/page.tsx                                            | TypeScript JSX       |        219 |         14 |         25 |        258 |
| /workspaces/devmultiplier-academy/src/app/(auth)/verify-email-sent/page.tsx                                         | TypeScript JSX       |         65 |          5 |         11 |         81 |
| /workspaces/devmultiplier-academy/src/app/(auth)/verify-email/page.tsx                                              | TypeScript JSX       |        130 |          1 |         13 |        144 |
| /workspaces/devmultiplier-academy/src/app/(protected)/admin/logins/page.tsx                                         | TypeScript JSX       |        283 |          4 |         20 |        307 |
| /workspaces/devmultiplier-academy/src/app/(protected)/dashboard/page.tsx                                            | TypeScript JSX       |         95 |          5 |         13 |        113 |
| /workspaces/devmultiplier-academy/src/app/(protected)/enrollments/page.tsx                                          | TypeScript JSX       |         49 |          3 |         10 |         62 |
| /workspaces/devmultiplier-academy/src/app/(protected)/layout.tsx                                                    | TypeScript JSX       |          5 |          0 |          3 |          8 |
| /workspaces/devmultiplier-academy/src/app/(protected)/profile/page.tsx                                              | TypeScript JSX       |      1,331 |         48 |        131 |      1,510 |
| /workspaces/devmultiplier-academy/src/app/(protected)/security/page.tsx                                             | TypeScript JSX       |        191 |          3 |         19 |        213 |
| /workspaces/devmultiplier-academy/src/app/about/page.tsx                                                            | TypeScript JSX       |         79 |          5 |          8 |         92 |
| /workspaces/devmultiplier-academy/src/app/api/__tests__/courses.test.ts                                             | TypeScript           |         92 |          6 |         17 |        115 |
| /workspaces/devmultiplier-academy/src/app/api/__tests__/enrollments.test.ts                                         | TypeScript           |        152 |          4 |         28 |        184 |
| /workspaces/devmultiplier-academy/src/app/api/__tests__/progress.test.ts                                            | TypeScript           |        154 |          6 |         40 |        200 |
| /workspaces/devmultiplier-academy/src/app/api/__tests__/register.test.ts                                            | TypeScript           |        174 |          6 |         39 |        219 |
| /workspaces/devmultiplier-academy/src/app/api/__tests__/user-language.test.ts                                       | TypeScript           |         98 |          4 |         21 |        123 |
| /workspaces/devmultiplier-academy/src/app/api/__tests__/user-profile.test.ts                                        | TypeScript           |        123 |          6 |         23 |        152 |
| /workspaces/devmultiplier-academy/src/app/api/admin/login-logs/route.ts                                             | TypeScript           |         36 |          3 |          6 |         45 |
| /workspaces/devmultiplier-academy/src/app/api/auth/[...nextauth]/route.ts                                           | TypeScript           |          2 |          0 |          2 |          4 |
| /workspaces/devmultiplier-academy/src/app/api/auth/check-verification/route.ts                                      | TypeScript           |         27 |          4 |          8 |         39 |
| /workspaces/devmultiplier-academy/src/app/api/auth/forgot-password/route.ts                                         | TypeScript           |        117 |         10 |         13 |        140 |
| /workspaces/devmultiplier-academy/src/app/api/auth/logout/route.ts                                                  | TypeScript           |         12 |          1 |          4 |         17 |
| /workspaces/devmultiplier-academy/src/app/api/auth/register/route.ts                                                | TypeScript           |         67 |          6 |         13 |         86 |
| /workspaces/devmultiplier-academy/src/app/api/auth/resend-verification/route.ts                                     | TypeScript           |         63 |          6 |         15 |         84 |
| /workspaces/devmultiplier-academy/src/app/api/auth/reset-password/route.ts                                          | TypeScript           |         82 |          6 |         20 |        108 |
| /workspaces/devmultiplier-academy/src/app/api/auth/verify-email/route.ts                                            | TypeScript           |         49 |          5 |         11 |         65 |
| /workspaces/devmultiplier-academy/src/app/api/checkout/session/route.ts                                             | TypeScript           |        127 |         12 |         33 |        172 |
| /workspaces/devmultiplier-academy/src/app/api/contact/route.ts                                                      | TypeScript           |         23 |          0 |          6 |         29 |
| /workspaces/devmultiplier-academy/src/app/api/courses/[id]/route.ts                                                 | TypeScript           |        130 |          2 |          8 |        140 |
| /workspaces/devmultiplier-academy/src/app/api/courses/route.ts                                                      | TypeScript           |         60 |          2 |          6 |         68 |
| /workspaces/devmultiplier-academy/src/app/api/enrollments/[id]/route.ts                                             | TypeScript           |         70 |          1 |         11 |         82 |
| /workspaces/devmultiplier-academy/src/app/api/enrollments/route.ts                                                  | TypeScript           |        117 |         13 |         21 |        151 |
| /workspaces/devmultiplier-academy/src/app/api/metrics/route.ts                                                      | TypeScript           |         28 |         10 |          7 |         45 |
| /workspaces/devmultiplier-academy/src/app/api/progress/[courseId]/lesson/route.ts                                   | TypeScript           |        147 |         14 |         22 |        183 |
| /workspaces/devmultiplier-academy/src/app/api/progress/[courseId]/module/route.ts                                   | TypeScript           |        131 |         10 |         20 |        161 |
| /workspaces/devmultiplier-academy/src/app/api/progress/[courseId]/route.ts                                          | TypeScript           |         98 |          5 |         14 |        117 |
| /workspaces/devmultiplier-academy/src/app/api/subscriptions/cancel/route.ts                                         | TypeScript           |         66 |         12 |         16 |         94 |
| /workspaces/devmultiplier-academy/src/app/api/subscriptions/route.ts                                                | TypeScript           |         38 |          8 |          7 |         53 |
| /workspaces/devmultiplier-academy/src/app/api/user/avatar/route.ts                                                  | TypeScript           |         87 |         12 |         24 |        123 |
| /workspaces/devmultiplier-academy/src/app/api/user/delete/route.ts                                                  | TypeScript           |         50 |          3 |         14 |         67 |
| /workspaces/devmultiplier-academy/src/app/api/user/email/request-change/route.ts                                    | TypeScript           |         81 |          7 |         16 |        104 |
| /workspaces/devmultiplier-academy/src/app/api/user/email/verify-change/route.ts                                     | TypeScript           |         93 |          5 |         17 |        115 |
| /workspaces/devmultiplier-academy/src/app/api/user/language/route.ts                                                | TypeScript           |         40 |          0 |         10 |         50 |
| /workspaces/devmultiplier-academy/src/app/api/user/login-history/route.ts                                           | TypeScript           |         23 |          2 |          7 |         32 |
| /workspaces/devmultiplier-academy/src/app/api/user/profile/route.ts                                                 | TypeScript           |        113 |          0 |         14 |        127 |
| /workspaces/devmultiplier-academy/src/app/api/user/sessions/route.ts                                                | TypeScript           |         58 |         11 |         15 |         84 |
| /workspaces/devmultiplier-academy/src/app/api/webhooks/stripe/route.ts                                              | TypeScript           |        267 |         59 |         57 |        383 |
| /workspaces/devmultiplier-academy/src/app/checkout/cancel/page.tsx                                                  | TypeScript JSX       |         38 |          5 |          8 |         51 |
| /workspaces/devmultiplier-academy/src/app/checkout/success/page.tsx                                                 | TypeScript JSX       |         95 |          8 |         18 |        121 |
| /workspaces/devmultiplier-academy/src/app/contact/page.tsx                                                          | TypeScript JSX       |        236 |          3 |         15 |        254 |
| /workspaces/devmultiplier-academy/src/app/courses/[id]/[moduleId]/[lessonId]/lesson.css                             | PostCSS              |        188 |          2 |         40 |        230 |
| /workspaces/devmultiplier-academy/src/app/courses/[id]/[moduleId]/[lessonId]/page.tsx                               | TypeScript JSX       |        350 |         24 |         43 |        417 |
| /workspaces/devmultiplier-academy/src/app/courses/[id]/page.tsx                                                     | TypeScript JSX       |        368 |         26 |         40 |        434 |
| /workspaces/devmultiplier-academy/src/app/courses/page.tsx                                                          | TypeScript JSX       |        111 |          6 |         10 |        127 |
| /workspaces/devmultiplier-academy/src/app/error.tsx                                                                 | TypeScript JSX       |         17 |          0 |          2 |         19 |
| /workspaces/devmultiplier-academy/src/app/global-error.tsx                                                          | TypeScript JSX       |         21 |          0 |          2 |         23 |
| /workspaces/devmultiplier-academy/src/app/globals.css                                                               | PostCSS              |         74 |          9 |         12 |         95 |
| /workspaces/devmultiplier-academy/src/app/layout.tsx                                                                | TypeScript JSX       |         53 |          0 |          3 |         56 |
| /workspaces/devmultiplier-academy/src/app/page.tsx                                                                  | TypeScript JSX       |         14 |          0 |          2 |         16 |
| /workspaces/devmultiplier-academy/src/app/pricing/page.tsx                                                          | TypeScript JSX       |         62 |          1 |          6 |         69 |
| /workspaces/devmultiplier-academy/src/app/privacy-policy/page.tsx                                                   | TypeScript JSX       |        419 |         20 |         44 |        483 |
| /workspaces/devmultiplier-academy/src/app/providers.tsx                                                             | TypeScript JSX       |         13 |          0 |          3 |         16 |
| /workspaces/devmultiplier-academy/src/app/terms-of-service/page.tsx                                                 | TypeScript JSX       |        408 |         20 |         52 |        480 |
| /workspaces/devmultiplier-academy/src/app/verify-email-change/page.tsx                                              | TypeScript JSX       |        112 |          1 |         14 |        127 |
| /workspaces/devmultiplier-academy/src/auth.ts                                                                       | TypeScript           |        326 |         36 |         36 |        398 |
| /workspaces/devmultiplier-academy/src/auth.types.ts                                                                 | TypeScript           |         18 |          0 |          3 |         21 |
| /workspaces/devmultiplier-academy/src/components/layout/footer.tsx                                                  | TypeScript JSX       |         92 |          4 |          7 |        103 |
| /workspaces/devmultiplier-academy/src/components/layout/header.tsx                                                  | TypeScript JSX       |        141 |          5 |          9 |        155 |
| /workspaces/devmultiplier-academy/src/components/layout/layout-wrapper.tsx                                          | TypeScript JSX       |         19 |          0 |          3 |         22 |
| /workspaces/devmultiplier-academy/src/components/sections/courses.tsx                                               | TypeScript JSX       |         96 |          8 |          9 |        113 |
| /workspaces/devmultiplier-academy/src/components/sections/cta.tsx                                                   | TypeScript JSX       |         63 |          2 |          7 |         72 |
| /workspaces/devmultiplier-academy/src/components/sections/hero.tsx                                                  | TypeScript JSX       |         42 |          6 |          7 |         55 |
| /workspaces/devmultiplier-academy/src/components/sections/pricing.tsx                                               | TypeScript JSX       |        217 |         11 |         22 |        250 |
| /workspaces/devmultiplier-academy/src/components/ui/__tests__/button.test.tsx                                       | TypeScript JSX       |         20 |          0 |          5 |         25 |
| /workspaces/devmultiplier-academy/src/components/ui/appearance-selector.tsx                                         | TypeScript JSX       |         72 |          0 |         10 |         82 |
| /workspaces/devmultiplier-academy/src/components/ui/button.tsx                                                      | TypeScript JSX       |         30 |          0 |          5 |         35 |
| /workspaces/devmultiplier-academy/src/components/ui/enrolled-courses.tsx                                            | TypeScript JSX       |        152 |          1 |         15 |        168 |
| /workspaces/devmultiplier-academy/src/components/ui/enrollment-cta.tsx                                              | TypeScript JSX       |        171 |          6 |         22 |        199 |
| /workspaces/devmultiplier-academy/src/components/ui/language-selector.tsx                                           | TypeScript JSX       |         93 |          3 |         13 |        109 |
| /workspaces/devmultiplier-academy/src/components/ui/lesson-progress.tsx                                             | TypeScript JSX       |        141 |         12 |         26 |        179 |
| /workspaces/devmultiplier-academy/src/components/ui/profile-dropdown.tsx                                            | TypeScript JSX       |        225 |          9 |         32 |        266 |
| /workspaces/devmultiplier-academy/src/contexts/ThemeContext.tsx                                                     | TypeScript JSX       |         86 |         13 |         19 |        118 |
| /workspaces/devmultiplier-academy/src/contexts/UserAvatarContext.tsx                                                | TypeScript JSX       |         54 |          2 |          9 |         65 |
| /workspaces/devmultiplier-academy/src/globals.d.ts                                                                  | TypeScript           |         12 |          1 |          3 |         16 |
| /workspaces/devmultiplier-academy/src/lib/__tests__/api.test.ts                                                     | TypeScript           |         63 |          3 |         13 |         79 |
| /workspaces/devmultiplier-academy/src/lib/__tests__/utils.test.ts                                                   | TypeScript           |          6 |          0 |          2 |          8 |
