"filename", "language", "JSON", "TypeScript", "JavaScript", "source.markdown.math", "Shell Script", "Docker", "JSON with Comments", "YAML", "Properties", "XML", "TypeScript JSX", "PostCSS", "pgsql", "Prisma", "PowerShell", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.claude/skills/component-generator/SKILL.md", "source.markdown.math", 0, 0, 0, -276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -61, -337
"/workspaces/dev-x-academy-web/.claude/skills/database-optimization/SKILL.md", "source.markdown.math", 0, 0, 0, -261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -56, -317
"/workspaces/dev-x-academy-web/.claude/skills/error-setup/SKILL.md", "source.markdown.math", 0, 0, 0, -388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -93, -481
"/workspaces/dev-x-academy-web/.claude/skills/migration-planner/SKILL.md", "source.markdown.math", 0, 0, 0, -257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -82, -339
"/workspaces/dev-x-academy-web/.claude/skills/test-generator/SKILL.md", "source.markdown.math", 0, 0, 0, -309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -89, -398
"/workspaces/dev-x-academy-web/.claude/skills/translation-sync/SKILL.md", "source.markdown.math", 0, 0, 0, -208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, -265
"/workspaces/dev-x-academy-web/.devcontainer/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, -7, -5, -38
"/workspaces/dev-x-academy-web/.devcontainer/Dockerfile", "Docker", 0, 0, 0, 0, 0, -77, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -7, -94
"/workspaces/dev-x-academy-web/.devcontainer/config/postgres/init-user-db.sh", "Shell Script", 0, 0, 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -24, -8, -62
"/workspaces/dev-x-academy-web/.devcontainer/config/postgres/postgresql.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, 0, 0, -13, -10, -58
"/workspaces/dev-x-academy-web/.devcontainer/devcontainer.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, -142, 0, 0, 0, 0, 0, 0, 0, 0, -55, -22, -219
"/workspaces/dev-x-academy-web/.devcontainer/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -176, 0, 0, 0, 0, 0, 0, 0, -24, -15, -215
"/workspaces/dev-x-academy-web/.devcontainer/grafana/README.md", "source.markdown.math", 0, 0, 0, -138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -58, -196
"/workspaces/dev-x-academy-web/.devcontainer/grafana/dashboards/application-overview.json", "JSON", -562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -563
"/workspaces/dev-x-academy-web/.devcontainer/grafana/dashboards/performance-metrics.json", "JSON", -652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -653
"/workspaces/dev-x-academy-web/.devcontainer/grafana/dashboards/security-monitoring.json", "JSON", -680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -681
"/workspaces/dev-x-academy-web/.devcontainer/grafana/provisioning/dashboards/dashboards.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -2, -14
"/workspaces/dev-x-academy-web/.devcontainer/grafana/provisioning/datasources/prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, -2, -14
"/workspaces/dev-x-academy-web/.devcontainer/grafana/provisioning/datasources/tempo.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -2, -21
"/workspaces/dev-x-academy-web/.devcontainer/observability-setup.md", "source.markdown.math", 0, 0, 0, -108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -149
"/workspaces/dev-x-academy-web/.devcontainer/otel-collector/otel-collector-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, 0, 0, 0, 0, -9, -12, -68
"/workspaces/dev-x-academy-web/.devcontainer/post-create.sh", "Shell Script", 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -13, -103
"/workspaces/dev-x-academy-web/.devcontainer/post-start.sh", "Shell Script", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5, -16
"/workspaces/dev-x-academy-web/.devcontainer/prometheus/prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, 0, -29, -7, -65
"/workspaces/dev-x-academy-web/.devcontainer/restart-observability.sh", "Shell Script", 0, 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -8, -38
"/workspaces/dev-x-academy-web/.devcontainer/tempo/tempo.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -41, 0, 0, 0, 0, 0, 0, 0, -2, -8, -51
"/workspaces/dev-x-academy-web/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, -56, -20, -100
"/workspaces/dev-x-academy-web/.github/.schemas/collection.schema.json", "JSON", -93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -94
"/workspaces/dev-x-academy-web/.github/agents/CSharpExpert.agent.md", "source.markdown.math", 0, 0, 0, -147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -60, -207
"/workspaces/dev-x-academy-web/.github/agents/api-architect.agent.md", "source.markdown.math", 0, 0, 0, -42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -52
"/workspaces/dev-x-academy-web/.github/agents/clojure-interactive-programming.agent.md", "source.markdown.math", 0, 0, 0, -150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -46, -196
"/workspaces/dev-x-academy-web/.github/agents/csharp-dotnet-janitor.agent.md", "source.markdown.math", 0, 0, 0, -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -90
"/workspaces/dev-x-academy-web/.github/agents/csharp-mcp-expert.agent.md", "source.markdown.math", 0, 0, 0, -102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -125
"/workspaces/dev-x-academy-web/.github/agents/expert-dotnet-software-engineer.agent.md", "source.markdown.math", 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -30
"/workspaces/dev-x-academy-web/.github/agents/expert-nextjs-developer.agent.md", "source.markdown.math", 0, 0, 0, -394, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -89, -483
"/workspaces/dev-x-academy-web/.github/agents/microsoft-agent-framework-dotnet.agent.md", "source.markdown.math", 0, 0, 0, -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, -68
"/workspaces/dev-x-academy-web/.github/agents/ms-sql-dba.agent.md", "source.markdown.math", 0, 0, 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -36
"/workspaces/dev-x-academy-web/.github/agents/postgresql-dba.agent.md", "source.markdown.math", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -27
"/workspaces/dev-x-academy-web/.github/agents/typescript-mcp-expert.agent.md", "source.markdown.math", 0, 0, 0, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -101
"/workspaces/dev-x-academy-web/.github/chatmodes/csharp-dotnet-janitor.chatmode.md", "source.markdown.math", 0, 0, 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -95
"/workspaces/dev-x-academy-web/.github/chatmodes/ms-sql-dba.chatmode.md", "source.markdown.math", 0, 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -32
