"filename", "language", "JavaScript", "JSON", "TypeScript", "Dotenv", "source.markdown.math", "TypeScript JSX", "JSON with Comments", "PostCSS", "HTML", "Shell Script", "XML", "pgsql", "Home Assistant", "Docker", "Properties", "comment", "blank", "total"
"c:\Projects\websites\dev-x-academy-web\e2e\auth.spec.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 54
"c:\Projects\websites\dev-x-academy-web\e2e\failing-video.spec.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 10
"c:\Projects\websites\dev-x-academy-web\e2e\homepage.spec.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 28
"c:\Projects\websites\dev-x-academy-web\e2e\legal.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 39
"c:\Projects\websites\dev-x-academy-web\e2e\navigation.spec.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Projects\websites\dev-x-academy-web\eslint.config.mjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Projects\websites\dev-x-academy-web\middleware.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 38
"c:\Projects\websites\dev-x-academy-web\next.config.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Projects\websites\dev-x-academy-web\package-lock.json", "JSON", 0, 5538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5539
"c:\Projects\websites\dev-x-academy-web\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Projects\websites\dev-x-academy-web\playwright-report\data\b692dbfe80b4ab40e790562cd0b112ab55dc6966.md", "source.markdown.math", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 255
"c:\Projects\websites\dev-x-academy-web\playwright-report\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 3, 85
"c:\Projects\websites\dev-x-academy-web\playwright.config.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 61
"c:\Projects\websites\dev-x-academy-web\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Projects\websites\dev-x-academy-web\prisma.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Projects\websites\dev-x-academy-web\prisma\migrations\20260103230420_init\migration.sql", "pgsql", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 52, 65, 292
"c:\Projects\websites\dev-x-academy-web\public\icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 3, 12
"c:\Projects\websites\dev-x-academy-web\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 3, 14
"c:\Projects\websites\dev-x-academy-web\reset.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Projects\websites\dev-x-academy-web\scripts\verify-testing-setup.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 8, 9, 57
"c:\Projects\websites\dev-x-academy-web\src\__tests__\auth.test.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 65
"c:\Projects\websites\dev-x-academy-web\src\__tests__\models.test.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 72
"c:\Projects\websites\dev-x-academy-web\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Projects\websites\dev-x-academy-web\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 16, 153
"c:\Projects\websites\dev-x-academy-web\src\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 27, 265
"c:\Projects\websites\dev-x-academy-web\src\app\(protected)\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 114
"c:\Projects\websites\dev-x-academy-web\src\app\(protected)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Projects\websites\dev-x-academy-web\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 92
"c:\Projects\websites\dev-x-academy-web\src\app\api\__tests__\courses.test.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 115
"c:\Projects\websites\dev-x-academy-web\src\app\api\__tests__\enrollments.test.ts", "TypeScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28, 184
"c:\Projects\websites\dev-x-academy-web\src\app\api\__tests__\progress.test.ts", "TypeScript", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 200
"c:\Projects\websites\dev-x-academy-web\src\app\api\__tests__\register.test.ts", "TypeScript", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39, 219
"c:\Projects\websites\dev-x-academy-web\src\app\api\__tests__\user-language.test.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 123
"c:\Projects\websites\dev-x-academy-web\src\app\api\__tests__\user-profile.test.ts", "TypeScript", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 152
"c:\Projects\websites\dev-x-academy-web\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Projects\websites\dev-x-academy-web\src\app\api\auth\logout\route.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Projects\websites\dev-x-academy-web\src\app\api\auth\register\route.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 64
"c:\Projects\websites\dev-x-academy-web\src\app\api\courses\[id]\route.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 134
