"filename", "language", "(Read Error)", "source.markdown.math", "TypeScript", "JSON", "Prisma", "pgsql", "JSON with Comments", "Properties", "TypeScript JSX", "Shell Script", "YAML", "PostCSS", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.github/collections/csharp-dotnet-development.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 22
"/workspaces/dev-x-academy-web/.github/collections/csharp-dotnet-development.md", "source.markdown.math", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"/workspaces/dev-x-academy-web/.github/collections/database-data-management.md", "source.markdown.math", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/workspaces/dev-x-academy-web/.github/collections/frontend-web-dev.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 3, 4, 37
"/workspaces/dev-x-academy-web/.github/collections/frontend-web-dev.md", "source.markdown.math", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/workspaces/dev-x-academy-web/.github/collections/testing-automation.collection.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 3, 4, 37
"/workspaces/dev-x-academy-web/.github/collections/testing-automation.md", "source.markdown.math", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"/workspaces/dev-x-academy-web/.github/copilot-instructions.md", "source.markdown.math", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 220
"/workspaces/dev-x-academy-web/.github/instructions/aspnet-rest-apis.instructions.md", "source.markdown.math", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 115
"/workspaces/dev-x-academy-web/.github/instructions/clojure.instructions.md", "source.markdown.math", 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 353
"/workspaces/dev-x-academy-web/.github/instructions/csharp-mcp-server.instructions.md", "source.markdown.math", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"/workspaces/dev-x-academy-web/.github/instructions/csharp.instructions.md", "source.markdown.math", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 119
"/workspaces/dev-x-academy-web/.github/instructions/devops-core-principles.instructions.md", "source.markdown.math", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 172
"/workspaces/dev-x-academy-web/.github/instructions/dotnet-architecture-good-practices.instructions.md", "source.markdown.math", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 284
"/workspaces/dev-x-academy-web/.github/instructions/markdown.instructions.md", "source.markdown.math", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 154
"/workspaces/dev-x-academy-web/.github/instructions/ms-sql-dba.instructions.md", "source.markdown.math", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"/workspaces/dev-x-academy-web/.github/instructions/nextjs.instructions.md", "source.markdown.math", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 146
"/workspaces/dev-x-academy-web/.github/instructions/sql_to_pg.instructions.md", "source.markdown.math", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 267
"/workspaces/dev-x-academy-web/.github/instructions/typescript-5-es2022.instructions.md", "source.markdown.math", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 119
"/workspaces/dev-x-academy-web/.github/instructions/typescript-mcp-server.instructions.md", "source.markdown.math", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 234
"/workspaces/dev-x-academy-web/.github/prompts/csharp-async.prompt.md", "source.markdown.math", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 57
"/workspaces/dev-x-academy-web/.github/prompts/csharp-docs.prompt.md", "source.markdown.math", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/workspaces/dev-x-academy-web/.github/prompts/csharp-mcp-server-generator.prompt.md", "source.markdown.math", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 66
"/workspaces/dev-x-academy-web/.github/prompts/csharp-xunit.prompt (2).md", "source.markdown.math", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 76
"/workspaces/dev-x-academy-web/.github/prompts/csharp-xunit.prompt.md", "source.markdown.math", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 76
"/workspaces/dev-x-academy-web/.github/prompts/dotnet-best-practices.prompt.md", "source.markdown.math", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 91
"/workspaces/dev-x-academy-web/.github/prompts/dotnet-design-pattern-review.prompt.md", "source.markdown.math", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"/workspaces/dev-x-academy-web/.github/prompts/editorconfig.prompt.md", "source.markdown.math", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 70
"/workspaces/dev-x-academy-web/.github/prompts/ef-core.prompt.md", "source.markdown.math", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 83
"/workspaces/dev-x-academy-web/.github/prompts/multi-stage-dockerfile.prompt.md", "source.markdown.math", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 54
"/workspaces/dev-x-academy-web/.github/prompts/next-intl-add-language.prompt.md", "source.markdown.math", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/workspaces/dev-x-academy-web/.github/prompts/postgresql-code-review.prompt.md", "source.markdown.math", 0, 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 221
"/workspaces/dev-x-academy-web/.github/prompts/postgresql-optimization.prompt (2).md", "source.markdown.math", 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 413
"/workspaces/dev-x-academy-web/.github/prompts/postgresql-optimization.prompt.md", "source.markdown.math", 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 413
"/workspaces/dev-x-academy-web/.github/prompts/sql-code-review.prompt (2).md", "source.markdown.math", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 310
"/workspaces/dev-x-academy-web/.github/prompts/sql-code-review.prompt.md", "source.markdown.math", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 310
"/workspaces/dev-x-academy-web/.github/prompts/sql-optimization.prompt (2).md", "source.markdown.math", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 305
"/workspaces/dev-x-academy-web/.github/prompts/sql-optimization.prompt.md", "source.markdown.math", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 305
"/workspaces/dev-x-academy-web/.github/prompts/typescript-mcp-server-generator.prompt.md", "source.markdown.math", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 97
"/workspaces/dev-x-academy-web/.github/prompts/write-coding-standards-from-file.prompt.md", "source.markdown.math", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 322
"/workspaces/dev-x-academy-web/.github/scripts/fix-line-endings.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 4, 10
"/workspaces/dev-x-academy-web/README.md", "source.markdown.math", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/workspaces/dev-x-academy-web/bun.lock", "JSON with Comments", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"/workspaces/dev-x-academy-web/doc/SECURITY_FEATURES.md", "source.markdown.math", 0, -278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -110, -388
"/workspaces/dev-x-academy-web/doc/api-endpoints.md", "source.markdown.math", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
