"filename", "language", "(Read Error)", "JSON with Comments", "Shell Script", "JavaScript", "TypeScript", "source.markdown.math", "JSON", "Prisma", "pgsql", "XML", "Properties", "TypeScript JSX", "YAML", "Docker", "PostCSS", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.devcontainer/grafana/provisioning/dashboards/dashboards.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/workspaces/dev-x-academy-web/.devcontainer/grafana/provisioning/datasources/prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/workspaces/dev-x-academy-web/.devcontainer/grafana/provisioning/datasources/tempo.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"/workspaces/dev-x-academy-web/.devcontainer/otel-collector/otel-collector-config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 7, 12, 65
"/workspaces/dev-x-academy-web/.devcontainer/post-create.sh", "Shell Script", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 10, 86
"/workspaces/dev-x-academy-web/.devcontainer/post-start.sh", "Shell Script", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 16
"/workspaces/dev-x-academy-web/.devcontainer/prometheus/prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 7, 42
"/workspaces/dev-x-academy-web/.devcontainer/restart-observability.sh", "Shell Script", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 38
"/workspaces/dev-x-academy-web/.devcontainer/tempo/tempo.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 2, 8, 51
"/workspaces/dev-x-academy-web/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 17, 10, 39
"/workspaces/dev-x-academy-web/.github/.schemas/collection.schema.json", "JSON", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94
