"filename", "language", "TypeScript", "source.markdown.math", "JSON", "Shell Script", "Properties", "JSON with Comments", "TypeScript JSX", "YAML", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7
"/workspaces/dev-x-academy-web/.github/CLAUDE.md", "source.markdown.math", 0, -4, 0, 0, 0, 0, 0, 0, 0, -4, -8
"/workspaces/dev-x-academy-web/.github/FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -2
"/workspaces/dev-x-academy-web/.github/copilot-instructions.md", "source.markdown.math", 0, -163, 0, 0, 0, 0, 0, 0, 0, -57, -220
"/workspaces/dev-x-academy-web/.github/instructions/typescript-mcp-server.instructions.md", "source.markdown.math", 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 13
"/workspaces/dev-x-academy-web/.github/prompts/typescript-mcp-server-generator.prompt.md", "source.markdown.math", 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 10
"/workspaces/dev-x-academy-web/CLAUDE.local.md", "source.markdown.math", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/workspaces/dev-x-academy-web/CLAUDE.md", "source.markdown.math", 0, 150, 0, 0, 0, 0, 0, 0, 0, 39, 189
"/workspaces/dev-x-academy-web/RELEASE-PHASE1.md", "source.markdown.math", 0, 137, 0, 0, 0, 0, 0, 0, 0, 51, 188
"/workspaces/dev-x-academy-web/bun.lock", "JSON with Comments", 0, 0, 0, 0, 0, 11, 0, 0, 0, 9, 20
"/workspaces/dev-x-academy-web/docs/awesome-claude-code-resources.md", "source.markdown.math", 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/workspaces/dev-x-academy-web/docs/error-handling-implementation.md", "source.markdown.math", 0, 679, 0, 0, 0, 0, 0, 0, 0, 180, 859
"/workspaces/dev-x-academy-web/docs/error-handling-logging.md", "source.markdown.math", 0, 1430, 0, 0, 0, 0, 0, 0, 0, 370, 1800
"/workspaces/dev-x-academy-web/grafana-cloud/README.md", "source.markdown.math", 0, 151, 0, 0, 0, 0, 0, 0, 0, 50, 201
"/workspaces/dev-x-academy-web/grafana-cloud/dashboards/application-overview.json", "JSON", 0, 0, 596, 0, 0, 0, 0, 0, 0, 1, 597
"/workspaces/dev-x-academy-web/grafana-cloud/dashboards/performance-metrics.json", "JSON", 0, 0, 648, 0, 0, 0, 0, 0, 0, 1, 649
"/workspaces/dev-x-academy-web/grafana-cloud/dashboards/security-monitoring.json", "JSON", 0, 0, 684, 0, 0, 0, 0, 0, 0, 1, 685
"/workspaces/dev-x-academy-web/grafana-cloud/scripts/import-dashboards.sh", "Shell Script", 0, 0, 0, 119, 0, 0, 0, 0, 30, 28, 177
"/workspaces/dev-x-academy-web/middleware.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/workspaces/dev-x-academy-web/next.config.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/workspaces/dev-x-academy-web/package.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"/workspaces/dev-x-academy-web/prisma.config.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"/workspaces/dev-x-academy-web/src/app/(auth)/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 3, 2, 18
"/workspaces/dev-x-academy-web/src/app/api/admin/login-logs/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/workspaces/dev-x-academy-web/src/app/api/auth/forgot-password/route.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"/workspaces/dev-x-academy-web/src/app/api/auth/logout/route.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/workspaces/dev-x-academy-web/src/app/api/auth/register/route.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/workspaces/dev-x-academy-web/src/app/api/auth/reset-password/route.ts", "TypeScript", -4, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"/workspaces/dev-x-academy-web/src/app/api/courses/[id]/route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspaces/dev-x-academy-web/src/app/api/courses/route.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/workspaces/dev-x-academy-web/src/app/api/enrollments/[id]/route.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/workspaces/dev-x-academy-web/src/app/api/enrollments/route.ts", "TypeScript", -3, 0, 0, 0, 0, 0, 0, 0, 9, 2, 8
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/lesson/route.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/module/route.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/workspaces/dev-x-academy-web/src/app/api/progress/[courseId]/route.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/workspaces/dev-x-academy-web/src/app/api/user/delete/route.ts", "TypeScript", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/workspaces/dev-x-academy-web/src/app/api/user/email/request-change/route.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/workspaces/dev-x-academy-web/src/app/api/user/email/verify-change/route.ts", "TypeScript", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"/workspaces/dev-x-academy-web/src/app/api/user/language/route.ts", "TypeScript", -7, 0, 0, 0, 0, 0, 0, 0, 0, 2, -5
"/workspaces/dev-x-academy-web/src/app/api/user/profile/route.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
"/workspaces/dev-x-academy-web/src/app/api/user/sessions/route.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, 0, 0, 4, -1
"/workspaces/dev-x-academy-web/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"/workspaces/dev-x-academy-web/src/auth.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 5, 5, 46
"/workspaces/dev-x-academy-web/src/lib/action-wrapper.ts", "TypeScript", 189, 0, 0, 0, 0, 0, 0, 0, 196, 51, 436
"/workspaces/dev-x-academy-web/src/lib/api-handler.ts", "TypeScript", 204, 0, 0, 0, 0, 0, 0, 0, 152, 46, 402
"/workspaces/dev-x-academy-web/src/lib/error-handling.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 0, 0, 107, 49, 277
"/workspaces/dev-x-academy-web/src/lib/error-reporter.ts", "TypeScript", 220, 0, 0, 0, 0, 0, 0, 0, 276, 73, 569
"/workspaces/dev-x-academy-web/src/lib/errors.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 153, 32, 354
"/workspaces/dev-x-academy-web/src/lib/logger.ts", "TypeScript", 260, 0, 0, 0, 0, 0, 0, 0, 205, 71, 536
"/workspaces/dev-x-academy-web/src/lib/metrics.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 0, 2, -1, -1
"/workspaces/dev-x-academy-web/src/lib/request-context.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 224, 38, 371
"/workspaces/dev-x-academy-web/src/lib/result.ts", "TypeScript", 128, 0, 0, 0, 0, 0, 0, 0, 243, 39, 410
"Total", "-", 1433, 10915, 1947, 122, 0, 18, 15, 0, 1617, 3528, 19595
