"filename", "language", "TypeScript", "JSON", "source.markdown.math", "JSON with Comments", "Shell Script", "TypeScript JSX", "Properties", "YAML", "Docker", "comment", "blank", "total"
"/workspaces/dev-x-academy-web/docs/PASSWORD_RESET_FEATURE.md", "source.markdown.math", 0, 0, -229, 0, 0, 0, 0, 0, 0, 0, -83, -312
"/workspaces/dev-x-academy-web/docs/api-endpoints.md", "source.markdown.math", 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 161, 693
"/workspaces/dev-x-academy-web/docs/api-implementation-guide.md", "source.markdown.math", 0, 0, 588, 0, 0, 0, 0, 0, 0, 0, 138, 726
"/workspaces/dev-x-academy-web/docs/api_tests.md", "source.markdown.math", 0, 0, 382, 0, 0, 0, 0, 0, 0, 0, 134, 516
"/workspaces/dev-x-academy-web/docs/api_tests_quick_ref.md", "source.markdown.math", 0, 0, 275, 0, 0, 0, 0, 0, 0, 0, 84, 359
"/workspaces/dev-x-academy-web/docs/authentication-and-user-profiles.md", "source.markdown.math", 0, 0, 1097, 0, 0, 0, 0, 0, 0, 0, 270, 1367
"/workspaces/dev-x-academy-web/docs/authentication-guide.md", "source.markdown.math", 0, 0, 594, 0, 0, 0, 0, 0, 0, 0, 166, 760
"/workspaces/dev-x-academy-web/docs/awesome-claude-code-resources.md", "source.markdown.math", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 76, 267
"/workspaces/dev-x-academy-web/docs/claude-code_copilot-comparison.md", "source.markdown.math", 0, 0, 378, 0, 0, 0, 0, 0, 0, 0, 163, 541
"/workspaces/dev-x-academy-web/docs/database-setup.md", "source.markdown.math", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 61, 194
"/workspaces/dev-x-academy-web/docs/devcontainer-executive-overview.md", "source.markdown.math", 0, 0, 674, 0, 0, 0, 0, 0, 0, 0, 257, 931
"/workspaces/dev-x-academy-web/docs/devcontainer-executive-summary.md", "source.markdown.math", 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 159, 509
"/workspaces/dev-x-academy-web/docs/devcontainer-overview.md", "source.markdown.math", 0, 0, 920, 0, 0, 0, 0, 0, 0, 0, 347, 1267
"/workspaces/dev-x-academy-web/docs/grafana_implementation.md", "source.markdown.math", 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 134, 457
"/workspaces/dev-x-academy-web/docs/grafana_quick_start.md", "source.markdown.math", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 66, 195
"/workspaces/dev-x-academy-web/docs/grafana_setup.md", "source.markdown.math", 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 138, 434
"/workspaces/dev-x-academy-web/docs/legal-pages-integration-guide.md", "source.markdown.math", 0, 0, 708, 0, 0, 0, 0, 0, 0, 0, 134, 842
"/workspaces/dev-x-academy-web/docs/mermaid-theme-guide.md", "source.markdown.math", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 46, 190
"/workspaces/dev-x-academy-web/docs/metrics_implementation.md", "source.markdown.math", 0, 0, 375, 0, 0, 0, 0, 0, 0, 0, 136, 511
"/workspaces/dev-x-academy-web/docs/metrics_quick_reference.md", "source.markdown.math", 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 132, 449
"/workspaces/dev-x-academy-web/docs/metrics_testing_guide.md", "source.markdown.math", 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 145, 463
"/workspaces/dev-x-academy-web/docs/multilingual-implementation-guide.md", "source.markdown.math", 0, 0, 1183, 0, 0, 0, 0, 0, 0, 0, 248, 1431
"/workspaces/dev-x-academy-web/docs/oauth_setup.md", "source.markdown.math", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 80, 302
"/workspaces/dev-x-academy-web/docs/opentelemetry_architecture.md", "source.markdown.math", 0, 0, 655, 0, 0, 0, 0, 0, 0, 0, 222, 877
"/workspaces/dev-x-academy-web/docs/opentelemetry_environment_switching.md", "source.markdown.math", 0, 0, 296, 0, 0, 0, 0, 0, 0, 0, 115, 411
"/workspaces/dev-x-academy-web/docs/opentelemetry_setup.md", "source.markdown.math", 0, 0, 447, 0, 0, 0, 0, 0, 0, 0, 188, 635
"/workspaces/dev-x-academy-web/docs/otel-metrics-troubleshooting.md", "source.markdown.math", 0, 0, 982, 0, 0, 0, 0, 0, 0, 0, 370, 1352
"/workspaces/dev-x-academy-web/docs/password_reset_feature.md", "source.markdown.math", 0, 0, 232, 0, 0, 0, 0, 0, 0, 0, 103, 335
"/workspaces/dev-x-academy-web/docs/playwright.md", "source.markdown.math", 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 117, 426
